<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190109,12:00:00,193.2900000,194.2000000,193.1200000,194.1700000,9402460
SBER,60,20190109,13:00:00,194.1600000,194.7700000,193.7500000,194.6900000,5773980
SBER,60,20190109,14:00:00,194.6900000,194.7900000,194.0300000,194.3800000,4406450
SBER,60,20190109,15:00:00,194.3800000,195.4000000,193.8500000,195.2500000,8688600
SBER,60,20190109,16:00:00,195.2500000,195.8900000,195.0000000,195.8400000,10362660
SBER,60,20190109,17:00:00,195.7800000,196.8900000,195.7800000,196.4300000,12824930
SBER,60,20190109,18:00:00,196.4200000,197.0000000,196.3500000,196.7000000,5487800
SBER,60,20190109,19:00:00,196.7000000,197.0000000,196.4800000,197.0000000,6160730
SBER,60,20190110,11:00:00,196.3000000,196.3000000,195.5100000,195.8700000,7322980
SBER,60,20190110,12:00:00,195.8500000,196.3000000,195.0300000,195.7400000,8361260
SBER,60,20190110,13:00:00,195.7200000,197.4900000,195.6700000,196.9400000,8304530
SBER,60,20190110,14:00:00,196.9400000,197.6400000,196.9200000,197.3000000,5091860
SBER,60,20190110,15:00:00,197.3400000,197.5800000,196.6300000,196.7500000,3984340
SBER,60,20190110,16:00:00,196.7500000,197.0500000,195.7200000,196.1000000,4899300
SBER,60,20190110,17:00:00,196.1000000,196.9100000,196.1000000,196.2000000,2757070
SBER,60,20190110,18:00:00,196.1800000,196.4000000,195.7500000,196.0300000,5182530
SBER,60,20190110,19:00:00,196.0500000,197.0500000,196.0200000,196.7500000,10307780
SBER,60,20190111,11:00:00,197.1300000,197.9900000,196.2300000,197.0700000,8698870
SBER,60,20190111,12:00:00,197.1000000,198.8000000,196.1200000,198.5400000,14658730
SBER,60,20190111,13:00:00,198.6000000,198.9500000,198.1300000,198.5700000,5383170
SBER,60,20190111,14:00:00,198.5700000,198.9600000,197.9000000,198.3500000,6174940
SBER,60,20190111,15:00:00,198.3000000,198.3300000,197.3500000,197.5400000,5486410
SBER,60,20190111,16:00:00,197.5400000,197.7700000,197.2000000,197.4200000,2938520
SBER,60,20190111,17:00:00,197.3700000,197.4200000,195.8100000,195.9300000,8011300
SBER,60,20190111,18:00:00,195.9700000,196.5300000,195.6100000,195.8800000,5301070
SBER,60,20190111,19:00:00,195.8800000,196.8000000,195.8000000,196.8000000,6990660
SBER,60,20190114,11:00:00,195.6800000,195.7000000,194.2400000,194.7300000,7744940
SBER,60,20190114,12:00:00,194.7300000,195.0000000,194.3800000,194.4900000,4144970
SBER,60,20190114,13:00:00,194.5300000,194.9000000,194.1000000,194.1000000,3929240
SBER,60,20190114,14:00:00,194.1000000,194.6500000,194.0000000,194.5900000,4011740
SBER,60,20190114,15:00:00,194.5900000,195.1000000,194.5000000,195.0200000,2852560
SBER,60,20190114,16:00:00,195.0000000,195.7700000,194.8300000,195.5100000,3870510
SBER,60,20190114,17:00:00,195.5000000,196.2500000,195.4000000,196.0000000,5321800
SBER,60,20190114,18:00:00,196.0000000,196.9800000,195.7200000,196.4600000,5801930
SBER,60,20190114,19:00:00,196.5100000,197.4400000,196.5100000,196.8000000,6965830
SBER,60,20190115,11:00:00,197.3900000,198.0100000,197.1500000,197.7700000,8010990
SBER,60,20190115,12:00:00,197.7700000,198.8400000,197.7600000,198.3600000,7921700
SBER,60,20190115,13:00:00,198.3600000,198.4800000,196.7700000,197.0000000,7163120
SBER,60,20190115,14:00:00,197.0000000,197.4800000,196.8300000,197.1000000,3847940
SBER,60,20190115,15:00:00,197.0500000,197.5700000,196.3400000,196.4300000,3751930
SBER,60,20190115,16:00:00,196.4500000,197.0700000,195.9100000,196.4000000,4278780
SBER,60,20190115,17:00:00,196.4400000,196.8800000,196.2000000,196.3200000,2468110
SBER,60,20190115,18:00:00,196.3100000,197.9000000,196.1500000,197.6000000,5639170
SBER,60,20190115,19:00:00,197.6000000,198.3500000,197.3600000,198.0000000,9913050
SBER,60,20190116,11:00:00,198.6400000,199.6700000,198.0200000,199.1200000,9241320
SBER,60,20190116,12:00:00,199.1200000,200.1700000,198.7500000,199.5900000,9322350
SBER,60,20190116,13:00:00,199.6100000,199.9000000,199.3000000,199.4700000,5528810
SBER,60,20190116,14:00:00,199.4500000,199.5000000,198.6200000,199.2000000,4516610
SBER,60,20190116,15:00:00,199.2100000,199.7800000,199.0700000,199.5100000,3069710
SBER,60,20190116,16:00:00,199.5100000,199.9000000,199.0000000,199.7000000,4751730
SBER,60,20190116,17:00:00,199.6700000,200.1000000,199.0400000,199.8600000,6265740
SBER,60,20190116,18:00:00,199.8600000,201.3000000,199.8400000,201.1300000,13319290
SBER,60,20190116,19:00:00,201.1200000,201.2600000,200.6500000,201.2600000,6376830
SBER,60,20190117,11:00:00,201.6700000,202.1700000,201.4500000,201.5700000,8277270
SBER,60,20190117,12:00:00,201.5900000,203.4100000,201.0500000,203.1000000,12290800
SBER,60,20190117,13:00:00,203.1100000,203.5500000,202.1200000,202.3500000,9068500
SBER,60,20190117,14:00:00,202.3500000,203.3000000,202.3300000,202.9800000,4933790
